epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
62,1935.64,1.78941,1.23964,0.00695,0.75403,0.69445,0.72685,0.34326,1.92277,1.40062,0.01173,0.0007922,0.0007922,0.0007922
63,1966.15,1.79227,1.22076,0.00744,0.74859,0.68331,0.71341,0.34765,1.93094,1.41876,0.01219,0.0007724,0.0007724,0.0007724
64,1996.72,1.81775,1.21596,0.00679,0.74232,0.67404,0.70932,0.35148,1.93119,1.45683,0.01254,0.0007526,0.0007526,0.0007526
65,2027.29,1.79224,1.175,0.00706,0.73562,0.68107,0.70852,0.33348,1.9995,1.44702,0.01283,0.0007328,0.0007328,0.0007328
66,2057.77,1.72883,1.15423,0.0063,0.75613,0.66244,0.71312,0.34579,1.9881,1.51307,0.01307,0.000713,0.000713,0.000713
67,2088.26,1.82228,1.33829,0.0068,0.70797,0.70939,0.70755,0.34026,1.89844,1.53434,0.01202,0.0006932,0.0006932,0.0006932
68,2119.03,1.78392,1.14407,0.00632,0.76209,0.67958,0.72659,0.34889,1.92728,1.45747,0.01231,0.0006734,0.0006734,0.0006734
69,2149.58,1.77358,1.14686,0.00669,0.7498,0.69151,0.73583,0.35591,1.94132,1.43322,0.01235,0.0006536,0.0006536,0.0006536
70,2180.08,1.73767,1.05048,0.00619,0.74476,0.70939,0.73927,0.36955,1.88448,1.43763,0.01192,0.0006338,0.0006338,0.0006338
71,2212,1.71972,1.19295,0.00672,0.76609,0.70939,0.73719,0.35284,1.94621,1.40373,0.01257,0.000614,0.000614,0.000614
72,2242.59,1.70174,1.07706,0.00618,0.75074,0.70715,0.72559,0.36155,1.90741,1.36731,0.01236,0.0005942,0.0005942,0.0005942
73,2273.17,1.7567,1.14765,0.00656,0.76672,0.70119,0.7352,0.35853,1.9632,1.34878,0.01267,0.0005744,0.0005744,0.0005744
74,2303.75,1.75659,1.06347,0.00651,0.75513,0.70194,0.7326,0.35691,1.90781,1.4433,0.01191,0.0005546,0.0005546,0.0005546
75,2334.38,1.73539,1.06545,0.00666,0.76969,0.68981,0.73241,0.36098,1.87848,1.43305,0.01214,0.0005348,0.0005348,0.0005348
76,2364.92,1.75166,1.24387,0.00676,0.74234,0.71276,0.73478,0.35626,1.95083,1.42612,0.01237,0.000515,0.000515,0.000515
77,2395.47,1.74192,1.06679,0.00601,0.76261,0.71684,0.74022,0.36497,1.89926,1.34538,0.01212,0.0004952,0.0004952,0.0004952
78,2426.08,1.70542,1.05647,0.00619,0.7791,0.69908,0.73118,0.36335,1.86084,1.407,0.01176,0.0004754,0.0004754,0.0004754
79,2456.52,1.72952,1.0957,0.00665,0.74672,0.70045,0.72246,0.34931,1.93299,1.47978,0.01213,0.0004556,0.0004556,0.0004556
80,2487.15,1.71703,1.04427,0.00641,0.75662,0.72276,0.73674,0.36419,1.89026,1.38823,0.01171,0.0004358,0.0004358,0.0004358
81,2517.77,1.76264,1.02083,0.00664,0.7559,0.73025,0.73809,0.36032,1.92586,1.38224,0.01249,0.000416,0.000416,0.000416
82,2548.32,1.70159,1.06309,0.00628,0.7517,0.71311,0.73992,0.37125,1.85123,1.37691,0.01154,0.0003962,0.0003962,0.0003962
83,2580.49,1.69372,1.00144,0.00637,0.75349,0.71684,0.73887,0.36306,1.89449,1.39008,0.01192,0.0003764,0.0003764,0.0003764
84,2611.11,1.73886,1.05927,0.00681,0.7562,0.71879,0.7383,0.36154,1.94909,1.32693,0.01277,0.0003566,0.0003566,0.0003566
85,2641.74,1.73195,1.0059,0.00651,0.74972,0.73662,0.74109,0.36719,1.93739,1.35033,0.01284,0.0003368,0.0003368,0.0003368
86,2672.26,1.691,1.07729,0.00663,0.72508,0.74888,0.73088,0.35806,1.92796,1.42261,0.01215,0.000317,0.000317,0.000317
87,2702.7,1.6793,0.97825,0.00581,0.74472,0.74516,0.74464,0.36809,1.9501,1.30423,0.01276,0.0002972,0.0002972,0.0002972
88,2733.27,1.68018,1.07227,0.00638,0.74699,0.71721,0.734,0.35706,1.90273,1.35541,0.01165,0.0002774,0.0002774,0.0002774
89,2763.8,1.67465,0.98592,0.00623,0.75294,0.7108,0.73445,0.36425,1.93116,1.43124,0.01298,0.0002576,0.0002576,0.0002576
90,2794.44,1.67893,1.01882,0.00587,0.77302,0.70343,0.7396,0.36479,1.93245,1.42255,0.01301,0.0002378,0.0002378,0.0002378
91,2825.43,1.6265,0.97005,0.00662,0.74945,0.71982,0.72637,0.35501,1.97796,1.38304,0.01296,0.000218,0.000218,0.000218
92,2855.71,1.59878,0.90997,0.00653,0.74296,0.7194,0.72879,0.35679,1.95626,1.34708,0.01266,0.0001982,0.0001982,0.0001982
93,2885.93,1.55641,0.93362,0.0064,0.75578,0.70794,0.73254,0.36175,1.91848,1.34226,0.01244,0.0001784,0.0001784,0.0001784
94,2916.22,1.54676,0.88725,0.00653,0.75676,0.70939,0.72886,0.36068,1.92017,1.35812,0.01249,0.0001586,0.0001586,0.0001586
95,2946.51,1.59699,0.92022,0.00639,0.74746,0.72057,0.73525,0.3613,1.94657,1.3642,0.01261,0.0001388,0.0001388,0.0001388
96,2976.98,1.5515,0.87745,0.00641,0.75059,0.731,0.73627,0.36127,1.90917,1.3726,0.0119,0.000119,0.000119,0.000119
97,3007.28,1.61435,0.88732,0.00717,0.75274,0.73273,0.73756,0.36422,1.89634,1.36319,0.01186,9.92e-05,9.92e-05,9.92e-05
98,3037.57,1.58482,0.87546,0.00694,0.75074,0.72727,0.73753,0.36594,1.91215,1.32138,0.01234,7.94e-05,7.94e-05,7.94e-05
99,3067.71,1.5441,0.8491,0.00642,0.76234,0.72206,0.73623,0.36525,1.91472,1.32718,0.01239,5.96e-05,5.96e-05,5.96e-05
100,3098.14,1.6284,0.96538,0.0068,0.75229,0.72727,0.73572,0.36604,1.91303,1.34056,0.01236,3.98e-05,3.98e-05,3.98e-05
