image,candidate_image,matched,score,keyword,matched_text,text_count
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00038_5c9a1ac516cd.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00038_5c9a1ac516cd.webp,True,69.22,softcare,ltcare,16
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00039_769ca7c370a1.webp,,False,57.36,softcare,5oft,28
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00040_dd5b0f77af02.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00040_dd5b0f77af02.webp,True,71.85,softcare,s,18
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00041_f3694b712d38.webp,,False,38.91,softcare,OBOLO ENTERPRISE,5
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00042_0c929810434b.webp,,False,52.89,softcare,O,5
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00043_0a80c393a4f6.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00043_0a80c393a4f6.webp,True,60.37,softcare,tlcare,16
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00044_2d18a52436db.webp,,False,44.74,softcare,ASANTEWAA GROCERY,6
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00045_ac154b4015c2.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00045_ac154b4015c2.webp,True,65.28,softcare,SOFT&SMOOTH,35
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00046_29008cd5a9e9.webp,,False,44.33,softcare,lcane,20
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00047_28ecd3144b6a.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00047_28ecd3144b6a.webp,True,64.84,softcare,Kleesoft,17
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00048_ca7b78dbed36.webp,,False,51.6,softcare,AePsoft,11
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00049_87b4c7a383ac.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00049_87b4c7a383ac.webp,True,64.9,softcare,EN,11
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00050_1a9cfcab91af.webp,,False,51.71,softcare,Aer,11
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00050_6e388b1cc7b2.webp,,False,45.15,softcare,octicide,11
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00050_a558878db236.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00050_a558878db236.webp,True,94.02,softcare,soft,22
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00051_723187a0c4f2.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00051_723187a0c4f2.webp,True,68.39,softcare,tcae,20
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00051_a521cc9375e2.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00051_a521cc9375e2.webp,True,75.04,softcare,Softcave,20
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00051_f11498117c91.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00051_f11498117c91.webp,True,79.5,softcare,eesoft,47
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00052_267902abc0f0.webp,,False,45.56,softcare,TIN-GLADVENTURES,8
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00052_aebd127ea7b2.webp,,False,45.39,softcare,TIN-GLADVENTURES,6
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00052_e827cce4a570.webp,,False,44.51,softcare,TIN-GLAD VENTURES,5
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00053_68b732c5680a.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00053_68b732c5680a.webp,True,78.87,softcare,tcare,12
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00053_9433041b8b5f.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00053_9433041b8b5f.webp,True,72.82,softcare,PHINMART KIDS CARE,24
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00054_a16e0792798a.webp,,False,32.77,softcare,OBOLO SHOP,5
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00055_7cace32ec1a7.webp,,False,57.8,softcare,O,13
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00056_2813dbb5d9d3.webp,,False,38.74,softcare,avita,10
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00057_c14f414f2820.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00057_c14f414f2820.webp,True,84.59,softcare,esoft,7
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00058_1ee2bc6e8f1c.webp,,False,39.6,softcare,AGAPEENTERPRISE,6
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00059_05da029f6fd2.webp,,False,49.27,softcare,NEWTESTAMENTPROVISIONS,11
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00060_4e2696549c5b.webp,,False,34.7,softcare,FIILIZ MART,6
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00061_f7cdbf0a4463.webp,,False,39.42,softcare,LICEENTERPRISE,4
