row_number,url,status,path,error
39,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/34ae6a90d7d847b5dbf65f114145758c.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00039_769ca7c370a1.webp,
40,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/abd982c36e67fc3e63fb551ab81ea4aa.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00040_dd5b0f77af02.webp,
41,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/819f7b93000fd6b740d8689c73ba92bd.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00041_f3694b712d38.webp,
42,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/bff6f59f8508e409be4c51a015c28cc5.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00042_0c929810434b.webp,
43,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/67d7e32fb74fe2527a43057b913569d1.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00043_0a80c393a4f6.webp,
44,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/9d4b6934b9802b2de7e34e1ea499e442.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00044_2d18a52436db.webp,
45,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/7a8216458628ecca020f026652f109d1.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00045_ac154b4015c2.webp,
46,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/ec2a685d1cee523645e66488a3c3e7e0.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00046_29008cd5a9e9.webp,
47,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/4b14a67a9b7d14d6a323b477f13413cc.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00047_28ecd3144b6a.webp,
48,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/02aae403404b4679f4ce2f02454be5d4.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00048_ca7b78dbed36.webp,
49,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/e10a8edc04de5e0fb9152ed135801576.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00049_87b4c7a383ac.webp,
50,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/5df14345c3943f1f4304034e569e6bb4.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00050_1a9cfcab91af.webp,
50,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/d8fbd03cd628dac9f3f14a82945249b5.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00050_6e388b1cc7b2.webp,
50,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/fa82b2a1002c8e85ee016eac012a2b12.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00050_a558878db236.webp,
51,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/0466180729179d03b7b91659c56cc356.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00051_723187a0c4f2.webp,
51,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/599e3fedd8441f5646bc70e381df90c2.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00051_f11498117c91.webp,
51,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/f45d10432e13e9f8dea8e76a6b809231.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00051_a521cc9375e2.webp,
